affiliate_url,title,price,rating,category,brand,tags,image,note,active
https://s.shopee.tw/AKRG8ZP8vj,多功能滑雪訓練器,630,4.6,健身器材,,居家健身,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632773_0.jpg,,true
https://s.shopee.tw/8Uzbx8Y0sU,五合一行動電源 10000mAh,599,4.7,行動電源,,快充,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632774_0.jpg,,true
https://s.shopee.tw/2ViOoJflyR,折疊鞋盒,584,4.7,收納,,鞋盒,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632786_0.jpg,,true
https://s.shopee.tw/9zoPk2xjAS,汽車遮陽蓬,406,4.5,汽車用品,,遮陽,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632787_0.jpg,,true
https://s.shopee.tw/113pmORd4,防臭地漏,189,4.6,居家五金,,地漏,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632788_0.jpg,,true
https://s.shopee.tw/8KgBl4RYbz,智能霧化薰香機,99,4.7,家電,,香氛,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632789_0.jpg,,true
https://s.shopee.tw/6VEXZe6KES,車載磁吸支架,134,4.6,汽車用品,,支架,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632790_0.jpg,,true
https://s.shopee.tw/7AUEMnQm5J,兩件式反光雨衣,599,4.7,戶外用品,,雨衣,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632792_0.jpg,,true
https://s.shopee.tw/8KgBkxR9bI,後備箱收納神器,323,4.8,汽車用品,,收納,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632791_0.jpg,,true
https://s.shopee.tw/9AFIkRuCJD,家用除蟎機,97,4.5,家電,,除蟎,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25632793_0.jpg,,true
https://s.shopee.tw/3qDtFIqwwq,家用游戲機,609,4.9,家電,,遊戲主機,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706543_0.jpg,,true
https://s.shopee.tw/5L2h28mj3K,素色涼被,229,4.9,寢具,,棉被,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706544_0.jpg,,true
https://s.shopee.tw/7V7BcDTnvE,高清監視器,599,4.9,監控設備,,監視器,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706542_0.jpg,,true
https://s.shopee.tw/4LA9qRvhFD,電動螺絲起子,159,4.8,居家五金,,電鑽工具組,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706541_0.jpg,,true
https://s.shopee.tw/30emG5PQTH,車用手機架,698,5.0,汽車百貨,,手機支架,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706540​​_0.jpg,,true
https://s.shopee.tw/7KnlQ6UXbM,電瓶充電器,99,4.9,汽車百貨,,汽車電瓶充電器,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706539_0.jpg,,true
https://s.shopee.tw/9AFPbVQ3Nc,口袋行動電源,284,4.9,手機周邊,,5000mAh迷你行動電源,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706538_0.jpg,,true
https://s.shopee.tw/7pk215M4Wq,藍牙自拍腳架,549,5.0,手機周邊,,手機腳架,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706537_0.jpg,,true
https://s.shopee.tw/3fuT3S1n6x,手機殼,166,5.0,手機周邊,,I Phone16Pro max 防摔殼,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706536_0.jpg,,true
https://s.shopee.tw/3qDtFut87C,雲朵浴巾,41,4.9,居家生活,,成人吸水速幹浴巾,https://yuhan0117.github.io/SHOP-AUTO/assets/img/S__25706535_0.jpg,,true
